编号,名称,分类,品牌,适用年龄,库位,货架,数量,单价,状态,状况,借出人,借出日期,应还日期,入库日期,库龄(天),备注
T001,乐高积木基础装,积木益智,LEGO,3-6岁,A01-01,A01-01-S1,10,299.0,在库,完好,王小宝(小班),2026-06-09,2026-05-10,2026-01-15,145,小班常用
T002,毛绒小熊公仔,毛绒玩具,迪士尼,2-5岁,A01-01,A01-01-S2,15,89.0,在库,完好,,,,2026-02-20,109,
T003,彩色蜡笔套装,美术手工,得力,3-8岁,A01-02,A01-02-S1,20,45.0,待维修,轻微破损,王小宝(小班),2026-06-09,2026-05-10,2026-03-10,91,中班教学
T004,拼图100片世界地图,拼图益智,木玩世家,5-10岁,A01-02,A01-02-S2,8,128.0,在库,完好,,,,2025-12-01,190,大班教具
T005,遥控小汽车,电动玩具,奥迪双钻,4-8岁,A03-04,A03-04-S1,6,199.0,在库,完好,,,,2026-04-05,65,需定期充电
T006,过家家厨房套装,角色扮演,费雪,3-6岁,A03-04,A03-04-S1,5,159.0,在库,完好,,,,2026-01-20,140,
T007,木质积木50件套,积木益智,木玩世家,2-5岁,A02-02,A02-02-S1,0,99.0,报废,破损,王小宝(小班),2026-06-09,2026-05-10,2025-11-15,206,报废原因: 零件丢失无法修复
T008,故事绘本30册,图书绘本,乐乐趣,3-7岁,A02-02,A02-02-S2,30,15.0,在库,完好,,,,2026-02-28,101,按套借阅
T009,沙滩玩具套装,户外玩具,Hape,2-6岁,A03-01,A03-01-S1,10,68.0,在库,完好,,,,2026-05-01,39,夏季热租
T010,儿童篮球架,体育玩具,斯伯丁,4-10岁,A03-01,A03-01-S2,3,259.0,在库,完好,,,,2025-10-20,232,室外使用
T011,芭比娃娃礼盒,娃娃玩具,芭比,4-8岁,A03-02,A03-02-S1,6,189.0,在库,完好,,,,2026-03-15,86,女孩款
T012,变形金刚模型,模型玩具,孩之宝,6-12岁,A03-02,A03-02-S2,4,329.0,在库,完好,,,,2026-01-08,152,零件多注意
T013,磁性画板,美术手工,澳贝,2-5岁,A01-03,A01-03-S1,8,79.0,在库,完好,,,,2026-02-10,119,
T014,数字认知卡片,早教启蒙,巧虎,2-4岁,A01-03,A01-03-S2,25,12.0,在库,完好,,,,2025-09-30,252,小班启蒙
T015,托马斯小火车套装,模型玩具,费雪,3-7岁,A02-03,A02-03-S1,7,229.0,在库,完好,,,,2026-04-18,52,男孩款
T100,无人机航拍器,科技玩具,大疆,8-14岁,A03-04,A03-04-S1,2,899.0,在库,完好,,,,2026-06-09,0,
